datadatetime,venuename,typeofspace,current,expected
2020-03-25 16:00:00,Costco Inglewood,shopping,40,32
2020-03-25 17:00:00,Costco Inglewood,shopping,42,36
2020-03-25 18:00:00,Costco Inglewood,shopping,39,37
2020-03-25 19:00:00,Costco Inglewood,shopping,25,28
2020-03-25 20:00:00,Costco Inglewood,shopping,13,15
2020-03-25 21:00:00,Costco Inglewood,shopping,0,0
2020-03-25 22:00:00,Costco Inglewood,shopping,0,0
2020-03-25 23:00:00,Costco Inglewood,shopping,0,0
2020-03-26 00:00:00,Costco Inglewood,shopping,0,0
2020-03-26 01:00:00,Costco Inglewood,shopping,0,0
2020-03-26 02:00:00,Costco Inglewood,shopping,0,0
2020-03-26 03:00:00,Costco Inglewood,shopping,0,0
2020-03-26 04:00:00,Costco Inglewood,shopping,0,0
2020-03-26 05:00:00,Costco Inglewood,shopping,0,0
2020-03-26 06:00:00,Costco Inglewood,shopping,0,0
2020-03-26 07:00:00,Costco Inglewood,shopping,0,0
2020-03-26 08:00:00,Costco Inglewood,shopping,0,0
2020-03-26 09:00:00,Costco Inglewood,shopping,0,0
2020-03-26 10:00:00,Costco Inglewood,shopping,47,28
2020-03-26 11:00:00,Costco Inglewood,shopping,46,42
2020-03-26 12:00:00,Costco Inglewood,shopping,46,49
2020-03-26 13:00:00,Costco Inglewood,shopping,42,47
2020-03-26 14:00:00,Costco Inglewood,shopping,36,43
2020-03-26 15:00:00,Costco Inglewood,shopping,37,42
2020-03-26 16:00:00,Costco Inglewood,shopping,39,46
2020-03-26 17:00:00,Costco Inglewood,shopping,37,47
2020-03-26 18:00:00,Costco Inglewood,shopping,31,42
2020-03-26 19:00:00,Costco Inglewood,shopping,22,31
2020-03-26 20:00:00,Costco Inglewood,shopping,12,18
2020-03-26 21:00:00,Costco Inglewood,shopping,0,0
2020-03-26 22:00:00,Costco Inglewood,shopping,0,0
2020-03-26 23:00:00,Costco Inglewood,shopping,0,0
2020-03-27 00:00:00,Costco Inglewood,shopping,0,0
2020-03-27 01:00:00,Costco Inglewood,shopping,0,0
2020-03-27 02:00:00,Costco Inglewood,shopping,0,0
2020-03-27 03:00:00,Costco Inglewood,shopping,0,0
2020-03-27 04:00:00,Costco Inglewood,shopping,0,0
2020-03-27 05:00:00,Costco Inglewood,shopping,0,0
2020-03-27 06:00:00,Costco Inglewood,shopping,0,0
2020-03-27 07:00:00,Costco Inglewood,shopping,0,0
2020-03-27 08:00:00,Costco Inglewood,shopping,0,0
2020-03-27 09:00:00,Costco Inglewood,shopping,0,0
2020-03-27 10:00:00,Costco Inglewood,shopping,46,30
2020-03-27 11:00:00,Costco Inglewood,shopping,49,43
2020-03-27 12:00:00,Costco Inglewood,shopping,50,52
2020-03-27 13:00:00,Costco Inglewood,shopping,46,54
2020-03-27 14:00:00,Costco Inglewood,shopping,45,50
2020-03-27 15:00:00,Costco Inglewood,shopping,40,45
2020-03-27 16:00:00,Costco Inglewood,shopping,40,46
2020-03-27 17:00:00,Costco Inglewood,shopping,46,50
2020-03-27 18:00:00,Costco Inglewood,shopping,42,49
2020-03-27 19:00:00,Costco Inglewood,shopping,27,37
2020-03-27 20:00:00,Costco Inglewood,shopping,14,20
2020-03-27 21:00:00,Costco Inglewood,shopping,0,0
2020-03-27 22:00:00,Costco Inglewood,shopping,0,0
2020-03-27 23:00:00,Costco Inglewood,shopping,0,0
2020-03-28 00:00:00,Costco Inglewood,shopping,0,0
2020-03-28 01:00:00,Costco Inglewood,shopping,0,0
2020-03-28 02:00:00,Costco Inglewood,shopping,0,0
2020-03-28 03:00:00,Costco Inglewood,shopping,0,0
2020-03-28 04:00:00,Costco Inglewood,shopping,0,0
2020-03-28 05:00:00,Costco Inglewood,shopping,0,0
2020-03-28 06:00:00,Costco Inglewood,shopping,0,0
2020-03-28 07:00:00,Costco Inglewood,shopping,0,0
2020-03-28 08:00:00,Costco Inglewood,shopping,0,0
2020-03-28 09:00:00,Costco Inglewood,shopping,32,22
2020-03-28 10:00:00,Costco Inglewood,shopping,40,39
2020-03-28 11:00:00,Costco Inglewood,shopping,51,59
2020-03-28 12:00:00,Costco Inglewood,shopping,51,73
2020-03-28 13:00:00,Costco Inglewood,shopping,49,75
2020-03-28 14:00:00,Costco Inglewood,shopping,47,72
2020-03-28 15:00:00,Costco Inglewood,shopping,50,76
2020-03-28 16:00:00,Costco Inglewood,shopping,49,79
2020-03-28 17:00:00,Costco Inglewood,shopping,37,62
2020-03-28 18:00:00,Costco Inglewood,shopping,0,0
2020-03-28 19:00:00,Costco Inglewood,shopping,0,0
2020-03-28 20:00:00,Costco Inglewood,shopping,0,0
2020-03-28 21:00:00,Costco Inglewood,shopping,0,0
2020-03-28 22:00:00,Costco Inglewood,shopping,0,0
2020-03-28 23:00:00,Costco Inglewood,shopping,0,0
2020-03-29 00:00:00,Costco Inglewood,shopping,0,0
2020-03-29 01:00:00,Costco Inglewood,shopping,0,0
2020-03-29 02:00:00,Costco Inglewood,shopping,0,0
2020-03-29 03:00:00,Costco Inglewood,shopping,0,0
2020-03-29 04:00:00,Costco Inglewood,shopping,0,0
2020-03-29 05:00:00,Costco Inglewood,shopping,0,0
2020-03-29 06:00:00,Costco Inglewood,shopping,0,0
2020-03-29 07:00:00,Costco Inglewood,shopping,0,0
2020-03-29 08:00:00,Costco Inglewood,shopping,0,0
2020-03-29 09:00:00,Costco Inglewood,shopping,0,0
2020-03-29 10:00:00,Costco Inglewood,shopping,47,46
2020-03-29 11:00:00,Costco Inglewood,shopping,49,71
2020-03-29 12:00:00,Costco Inglewood,shopping,51,86
2020-03-29 13:00:00,Costco Inglewood,shopping,50,90
2020-03-29 14:00:00,Costco Inglewood,shopping,51,95
2020-03-29 15:00:00,Costco Inglewood,shopping,50,100
2020-03-29 16:00:00,Costco Inglewood,shopping,30,86
2020-03-29 17:00:00,Costco Inglewood,shopping,16,53
2020-03-29 18:00:00,Costco Inglewood,shopping,0,0
2020-03-29 19:00:00,Costco Inglewood,shopping,0,0
2020-03-29 20:00:00,Costco Inglewood,shopping,0,0
2020-03-29 21:00:00,Costco Inglewood,shopping,0,0
2020-03-29 22:00:00,Costco Inglewood,shopping,0,0
2020-03-29 23:00:00,Costco Inglewood,shopping,0,0
2020-03-30 00:00:00,Costco Inglewood,shopping,0,0
2020-03-30 01:00:00,Costco Inglewood,shopping,0,0
2020-03-30 02:00:00,Costco Inglewood,shopping,0,0
2020-03-30 03:00:00,Costco Inglewood,shopping,0,0
2020-03-30 04:00:00,Costco Inglewood,shopping,0,0
2020-03-30 05:00:00,Costco Inglewood,shopping,0,0
2020-03-30 06:00:00,Costco Inglewood,shopping,0,0
2020-03-30 07:00:00,Costco Inglewood,shopping,0,0
2020-03-30 08:00:00,Costco Inglewood,shopping,0,0
2020-03-30 09:00:00,Costco Inglewood,shopping,0,0
2020-03-30 10:00:00,Costco Inglewood,shopping,38,30
2020-03-30 11:00:00,Costco Inglewood,shopping,43,45
2020-03-30 12:00:00,Costco Inglewood,shopping,49,56
2020-03-30 14:00:00,Costco Inglewood,shopping,43,52
2020-03-30 15:00:00,Costco Inglewood,shopping,40,46
2020-03-30 16:00:00,Costco Inglewood,shopping,38,49
2020-03-30 17:00:00,Costco Inglewood,shopping,35,56
2020-03-30 18:00:00,Costco Inglewood,shopping,32,55
2020-03-30 19:00:00,Costco Inglewood,shopping,16,0
2020-03-30 20:00:00,Costco Inglewood,shopping,0,0
2020-03-30 21:00:00,Costco Inglewood,shopping,0,0
2020-03-30 22:00:00,Costco Inglewood,shopping,0,0
2020-03-30 23:00:00,Costco Inglewood,shopping,0,0
2020-03-31 00:00:00,Costco Inglewood,shopping,0,0
2020-03-31 01:00:00,Costco Inglewood,shopping,0,0
2020-03-31 02:00:00,Costco Inglewood,shopping,0,0
2020-03-31 03:00:00,Costco Inglewood,shopping,0,0
2020-03-31 04:00:00,Costco Inglewood,shopping,0,0
2020-03-31 05:00:00,Costco Inglewood,shopping,0,0
2020-03-31 06:00:00,Costco Inglewood,shopping,0,0
2020-03-31 07:00:00,Costco Inglewood,shopping,0,0
2020-03-31 08:00:00,Costco Inglewood,shopping,0,0
2020-03-31 09:00:00,Costco Inglewood,shopping,0,0
2020-03-31 10:00:00,Costco Inglewood,shopping,46,30
2020-03-31 11:00:00,Costco Inglewood,shopping,43,43
2020-03-31 12:00:00,Costco Inglewood,shopping,43,50
2020-03-31 13:00:00,Costco Inglewood,shopping,43,50
2020-03-31 14:00:00,Costco Inglewood,shopping,36,46
2020-03-31 15:00:00,Costco Inglewood,shopping,35,44
2020-03-31 16:00:00,Costco Inglewood,shopping,35,45
2020-03-31 17:00:00,Costco Inglewood,shopping,34,46
